ds,yhat,yhat_lower,yhat_upper
2022-10-30 14:11:00,13.497897273067709,-2.612345131424666,30.15597375426197
2022-10-30 15:11:00,13.75429187741938,-3.102080226022402,30.431668226385586
2022-10-30 16:11:00,14.412648014496856,-2.391960045805577,30.3239202658802
2022-10-30 17:11:00,15.744635428857599,-2.286291016796751,32.288474858671115
2022-10-30 18:11:00,17.49420080776363,0.007312005532451076,34.26740491520151
2022-10-30 19:11:00,19.15065245419894,3.078096097659056,36.27413101331241
2022-10-30 20:11:00,20.514605674664537,4.300535765605841,36.5389382159149
2022-10-30 21:11:00,21.896392355728143,5.052183345558373,38.31080018672794
2022-10-30 22:11:00,23.666106389978374,7.143055346443649,41.59311171647849
2022-10-30 23:11:00,25.595479586968672,9.192138669895092,42.00014340910271
